2025/06/15 17:21:38 [error] 404#404: *7184 connect() failed (111: Connection refused) while connecting to upstream, client: 34.248.137.227, server: torrent.clavinote.com, request: "GET / HTTP/1.1", upstream: "http://207.90.193.238:8080/", host: "torrent.clavinote.com"
2025/06/15 17:21:39 [error] 404#404: *7186 connect() failed (111: Connection refused) while connecting to upstream, client: 34.248.137.227, server: torrent.clavinote.com, request: "GET / HTTP/1.1", upstream: "http://207.90.193.238:8080/", host: "torrent.clavinote.com"
2025/06/15 17:30:19 [warn] 404#404: *7243 a client request body is buffered to a temporary file /tmp/nginx/body/7/03/0000002037, client: 179.162.68.53, server: torrent.clavinote.com, request: "POST /api/v2/torrents/add HTTP/1.1", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/upload.html"
2025/06/15 17:33:38 [error] 404#404: *7243 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:39 [error] 404#404: *7243 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:41 [error] 404#404: *7723 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:41 [error] 404#404: *7243 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/torrents/files?hash=d779a5812b43bcb9ee0b9d960b348e57b50bf16c HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/torrents/files?hash=d779a5812b43bcb9ee0b9d960b348e57b50bf16c", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:43 [error] 404#404: *7243 connect() failed (111: Connection refused) while connecting to upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:44 [error] 404#404: *7243 connect() failed (111: Connection refused) while connecting to upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:46 [error] 404#404: *7243 connect() failed (111: Connection refused) while connecting to upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:46 [error] 404#404: *7243 connect() failed (111: Connection refused) while connecting to upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/torrents/files?hash=d779a5812b43bcb9ee0b9d960b348e57b50bf16c HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/torrents/files?hash=d779a5812b43bcb9ee0b9d960b348e57b50bf16c", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:48 [error] 404#404: *7243 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:49 [error] 404#404: *7243 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:51 [error] 404#404: *7243 connect() failed (111: Connection refused) while connecting to upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:51 [error] 404#404: *7243 connect() failed (111: Connection refused) while connecting to upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/torrents/files?hash=d779a5812b43bcb9ee0b9d960b348e57b50bf16c HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/torrents/files?hash=d779a5812b43bcb9ee0b9d960b348e57b50bf16c", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:33:53 [error] 404#404: *7243 connect() failed (111: Connection refused) while connecting to upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=303 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=303", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:42:26 [error] 404#404: *8052 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=259 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=259", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:42:28 [error] 404#404: *8052 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=259 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=259", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:42:30 [error] 404#404: *8052 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=259 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=259", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
2025/06/15 17:44:07 [error] 405#405: *8759 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 179.162.68.53, server: torrent.clavinote.com, request: "GET /api/v2/sync/maindata?rid=42 HTTP/1.1", upstream: "http://207.90.193.238:8080/api/v2/sync/maindata?rid=42", host: "torrent.clavinote.com", referrer: "https://torrent.clavinote.com/"
